SelltoCustomerNo_,No_,OnHold,Gen_Bus_PostingGroup,SelltoCustomerName,SelltoCountryRegionCode,c004_Instrument_Count,ColorStatusTxt
C-9076,O-08037,,DISTRIBUTOR,,CZ,0,
C-9691,O-08044,,DISTRIBUTOR,,JP,0,
C-7536,O-08045,,SUB-KOR,,KR,1,
C-1193,O-08048,,DISTRIBUTOR,,FI,0,
C-4146,O-08054,,CUSTOMER,,AE,0,
C-2416,O-08057,,CUSTOMER,,GB,0,
C-0574,O-08059,,DISTRIBUTOR,,TR,0,
C-2577,O-08066,,WAR-PRT,,JP,0,
C-9858,O-08068,,CUSTOMER,,US,0,
C-8146,O-08079,,CUSTOMER,,US,0,
C-2792,O-08083,,CUSTOMER,,US,0,
C-2275,O-08086,,CRTSY,,US,0,
C-5065,O-08087,,CUSTOMER,,US,0,
C-9790,O-08090,,WAR-INST,,CN,1,
C-3013,O-08096,,CUSTOMER,,US,0,
C-4144,O-08101,,CUSTOMER,,BR,0,
C-6386,O-08106,,SUPPLIER,,US,0,
C-6737,O-08108,,SUB-KOR,,KR,1,
C-6837,O-08109,,SUB-KOR,,KR,1,Green
C-7911,O-08110,,CUSTOMER,,US,0,
C-4518,O-08124,,CUSTOMER,,US,1,
C-5934,O-08125,,SUB-UK,,GB,2,
C-6887,O-08130,,CUSTOMER,,US,0,
C-2666,O-08131,,CUSTOMER,,US,0,
C-9691,O-08134,,DISTRIBUTOR,,JP,0,
C-0975,O-08135,,DISTRIBUTOR,,IL,0,
C-9912,O-08141,,SUB-BEL,,DK,0,
C-8776,O-08142,,SUB-IND,,IN,0,
C-7937,O-08143,,SUB-UK,,GB,0,
C-6322,O-08146,,WAR-PRT,,MX,0,
C-7977,O-08149,,WAR-PRT,,DE,0,
C-5915,O-08153,,SUB-UK,,GB,0,
C-1720,O-08154,,SUB-UK,,GB,0,
C-2331,O-08155,,WAR-PRT,,TH,0,
C-8591,O-08161,,CUSTOMER,,US,0,
C-9691,O-08166,,DISTRIBUTOR,,JP,0,
C-9691,O-08169,ADM,DISTRIBUTOR,,JP,0,
C-8437,O-08171,,SUB-CHI,,CN,1,
C-8776,O-08172,,CUSTOMER,,IN,0,
C-4630,O-08183,,CUSTOMER,,US,0,
C-7145,O-08184,,CUSTOMER,,US,0,
C-2175,O-08185,,SUB-GER,,DE,0,
C-4034,O-08186,,SUB-GER,,DE,0,
C-1567,O-08187,,CUSTOMER,,US,0,
C-0452,O-08189,ADM,CUSTOMER,,US,0,
C-0097,O-08190,,SUB-CHI,,CN,0,
C-0097,O-08193,,SUB-CHI,,CN,0,
C-0097,O-08195,,SUB-CHI,,MX,0,
C-8128,O-08196,HFT,CUSTOMER,,US,0,
C-1662,O-08198,HFT,CUSTOMER,,CN,0,
C-0099,O-08199,,CUSTOMER,,CN,1,
C-8038,O-08200,,DISTRIBUTOR,,IT,0,
C-4563,O-08202,ADM,CUSTOMER,,US,0,
C-6518,O-08205,HFT,DISTRIBUTOR,,US,0,
C-9237,O-08211,,CUSTOMER,,US,1,Green
C-7536,O-08228,,SUB-KOR,,KR,0,
C-9691,O-08229,ADM,DISTRIBUTOR,,JP,0,
C-2577,O-08230,,DISTRIBUTOR,,JP,0,
C-2748,O-08231,,DISTRIBUTOR,,SE,0,
C-4662,O-08234,,DISTRIBUTOR,,IT,0,
C-9538,O-08235,,CUSTOMER,,US,0,
C-9638,O-08237,,SUB-UK,,GB,0,
C-4146,O-08238,,CUSTOMER,,AE,0,
C-5635,O-08239,,CUSTOMER,,US,0,
C-9810,O-08241,,DISTRIBUTOR,,CA,0,
C-5334,O-08242,,WAR-PRT,,GB,0,
C-9241,O-08243,,CUSTOMER,,US,0,
C-5334,O-08244,,WAR-PRT,,GB,0,
C-0635,O-08246,,CUSTOMER,,CA,0,
C-7524,O-08248,,WAR-PRT,,ID,0,
